Accession Number,Title,Sequence Length,Source of sample,NCBI Link,Geographical location,Host,Article name
MW595979,"Streptococcus anginosus strain SCF115 16S ribosomal RNA gene, partial sequence",1523.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MW595979,India ,Human,-----
NZ_JAQMKN010000038,"Streptococcus anginosus strain D35st1_A10_D35t1_190705 NODE_39_length_1522_cov_2.03114, whole genome shotgun sequence",1522.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAQMKN010000038,USA,Human,Human gut microbiome strain richness
AY691541,"Streptococcus anginosus strain ChDC YA11 16S ribosomal RNA gene, partial sequence",1520.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY691541,Korea,Patient,14.15 CONTINUATION Identification of Non-mutans Streptococci Organisms in Dental Plaques Recovering on Mitis-Salivarius Bacitracin Agar Medium
AY986764,"Streptococcus anginosus strain ChDC YA12 16S ribosomal RNA gene gene, partial sequence",1520.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY986764,Korea,Dental Patients,14.15 CONTINUATION Identification and Detection of Streptococcus anginosus Using Species-Specific 16S rDNA Primers
AY986765,"Streptococcus anginosus strain ChDC YA13 16S ribosomal RNA gene gene, partial sequence",1520.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY986765,Korea,Dental Patients,15. Identification and Detection of Streptococcus anginosus Using Species-Specific 16S rDNA Primers
MH628245,"Streptococcus anginosus strain FC6834 16S ribosomal RNA gene, partial sequence",1518.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH628245,China,Patient,Bacteria
AY986761,"Streptococcus anginosus strain ChDC YA2 16S ribosomal RNA gene gene, partial sequence",1517.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY986761,Korea,Dental Patients,15. Identification and Detection of Streptococcus anginosus Using Species-Specific 16S rDNA Primers
AY691536,"Streptococcus anginosus strain ChDC YA4 16S ribosomal RNA gene, partial sequence",1517.0,dental plague,https://www.ncbi.nlm.nih.gov/nuccore/AY691536,Korea,patient,14. Identification of Non-mutans Streptococci Organisms in Dental Plaques Recovering on Mitis-Salivarius Bacitracin Agar Medium
MH628233,"Streptococcus anginosus strain FC6871 16S ribosomal RNA gene, partial sequence",1517.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH628233,China,Patient,Bacteria
AY986763,"Streptococcus anginosus strain ChDC YA8 16S ribosomal RNA gene gene, partial sequence",1517.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY986763,Korea,Dental Patients,15. Identification and Detection of Streptococcus anginosus Using Species-Specific 16S rDNA Primers
AY986762,"Streptococcus anginosus strain ChDC YA5 16S ribosomal RNA gene gene, partial sequence",1517.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY986762,Korea,Dental Patients,15. Identification and Detection of Streptococcus anginosus Using Species-Specific 16S rDNA Primers
KF933782,"Streptococcus anginosus strain ChDC B342 16S ribosomal RNA gene, partial sequence",1517.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF933782,Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
AY691535,"Streptococcus anginosus strain ChDC YA3 16S ribosomal RNA gene, partial sequence",1516.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY691535,Korea,Patients,14. Identification of Non-mutans Streptococci Organisms in Dental Plaques Recovering on Mitis-Salivarius Bacitracin Agar Medium
AY691534,"Streptococcus anginosus strain ChDC YA1 16S ribosomal RNA gene, partial sequence",1510.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/AY691534,Korea,Patients,14. Identification of Non-mutans Streptococci Organisms in Dental Plaques Recovering on Mitis-Salivarius Bacitracin Agar Medium
LC144558,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, isolate: CG20160320O",1509.0,Domastic waste water Lucknow,https://www.ncbi.nlm.nih.gov/nuccore/LC144558,India,Domestic wastewater,"Thesis unable to download--- Comparative Analysis of Bacterial Diversity in the Water Samples from Ganga River, Indian Ocean and Domestic wastewater through Metagenomics Technique"
KM225745,"Streptococcus anginosus strain B10 16S ribosomal RNA gene, partial sequence",1507.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/KM225745,"Approved by Ethics Committee of the Medical School of the University of Regensburg, Germany.",Individual,27. Probing of Microbial Biofilm Communities for Coadhesion Partners
MW543923,"Streptococcus anginosus strain SCA03 16S ribosomal RNA gene, partial sequence",1505.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MW543923,India,Human,-----
MW595978,"Streptococcus anginosus strain SCF112 16S ribosomal RNA gene, partial sequence",1505.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MW595978,India,Human,-----
AF145242,"Streptococcus anginosus strain 21 16S ribosomal RNA, partial sequence",1505.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145242,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
MW543926,"Streptococcus anginosus strain SCA10 16S ribosomal RNA gene, partial sequence",1502.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MW543926,India,Human,-----
LC545465,"Streptococcus anginosus 2-KN-2020 gene for 16S rRNA, partial sequence",1502.0,bronchoalveolar lavage fluid,https://www.ncbi.nlm.nih.gov/nuccore/LC545465,---,Human,32. Proteins produced by Streptococcus species in the lower respiratory tract can modify antiviral responses against influenza virus in respiratory epithelial cells
AF145243,"Streptococcus anginosus strain 414 16S ribosomal RNA, partial sequence",1500.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145243,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
AF145246,"Streptococcus anginosus strain 920 16S ribosomal RNA, partial sequence",1496.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145246,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
OM265428,"Streptococcus anginosus strain TMPC 9023B 16S ribosomal RNA gene, partial sequence",1495.0,---,https://www.ncbi.nlm.nih.gov/nuccore/OM265428,---,---,-----
AF145240,"Streptococcus anginosus strain 1204 16S ribosomal RNA, partial sequence",1495.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145240,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
AF145241,"Streptococcus anginosus strain 213 16S ribosomal RNA, partial sequence",1493.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AF145241,Netherlands: University Hospital of Maastricht.,Clinical sample,8. The Streptococcus anginosus species comprises five 16S rRNA ribogroups with different phenotypic characteristics and clinical relevance
KF733694,"Streptococcus anginosus strain ChDC B372 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733694,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733717,"Streptococcus anginosus strain ChDC B542 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733717,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733702,"Streptococcus anginosus strain ChDC B383 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733702,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733700,"Streptococcus anginosus strain ChDC B381 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733700,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733691,"Streptococcus anginosus strain ChDC B367 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733691,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733693,"Streptococcus anginosus strain ChDC B369 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733693,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
KF733689,"Streptococcus anginosus strain ChDC B365 16S ribosomal RNA gene, partial sequence",1487.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/KF733689,South Korea,Human,38. Identification of the Bacteria Isolated from Oral Cavities in Korea
LC140947,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, isolate: CG20160324E",1484.0,Sea water,https://www.ncbi.nlm.nih.gov/nuccore/LC140947,Libya,sea water,26. Thesis unable to download
MT242497,"Streptococcus anginosus strain KCOM 2970 16S ribosomal RNA gene, partial sequence",1479.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT242497,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW555226,"Streptococcus anginosus strain KCOM 2921 (= JS98) 16S ribosomal RNA gene, partial sequence",1479.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW555226,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT261804,"Streptococcus anginosus strain KCOM 3022 (=ChDC PVNT-B21) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT261804,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT299682,"Streptococcus anginosus strain KCOM 1783 (= ChDC B464) 16S ribosomal RNA gene, partial sequence",1478.0,Mandibular osteomyelitis,https://www.ncbi.nlm.nih.gov/nuccore/MT299682,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT242501,"Streptococcus anginosus strain KCOM 2972 16S ribosomal RNA gene, partial sequence",1478.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT242501,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT500684,"Streptococcus anginosus strain KCOM 2341 (= ChDC PV-F44) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT500684,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT299717,"Streptococcus anginosus strain KCOM 1790 (= ChDC B471) 16S ribosomal RNA gene, partial sequence",1478.0,Mandibular osteomyelitis,https://www.ncbi.nlm.nih.gov/nuccore/MT299717,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT498552,"Streptococcus anginosus strain KCOM 2344 (= ChDC PV-F54) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT498552,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT280213,"Streptococcus anginosus strain KCOM 1742 (= ChDC B436) 16S ribosomal RNA gene, partial sequence",1478.0,submandibular space abscess,https://www.ncbi.nlm.nih.gov/nuccore/MT280213,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
KJ728813,"Streptococcus anginosus 16S ribosomal RNA gene, partial sequence",1478.0,maxillary sinusitis,https://www.ncbi.nlm.nih.gov/nuccore/KJ728813,confusioninpaper,Human,Pubmed confusion
MT320108,"Streptococcus anginosus strain KCOM 1932 (= ChDC B10) 16S ribosomal RNA gene, partial sequence",1478.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT320108,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT256261,"Streptococcus anginosus strain KCOM 2997 (=JS174) 16S ribosomal RNA gene, partial sequence",1478.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT256261,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT482705,"Streptococcus anginosus strain KCOM 1740 (= ChDC B434) 16S ribosomal RNA gene, partial sequence",1478.0,submandibular space abscess,https://www.ncbi.nlm.nih.gov/nuccore/MT482705,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT477776,"Streptococcus anginosus strain KCOM 3315 (=ChDC P003-Aa) 16S ribosomal RNA gene, partial sequence",1478.0,peri-implantitis,https://www.ncbi.nlm.nih.gov/nuccore/MT477776,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
JN578465,"Streptococcus anginosus culture-collection ATCC:33397 16S ribosomal RNA gene, partial sequence",1478.0,---,https://www.ncbi.nlm.nih.gov/nuccore/JN578465,---,---,"Evaluation of Methods for Identification and Determination of the Taxonomic Status of Strains Belonging to the Streptococcus porcinusStreptococcus pseudoporcinus Complex Isolated from Animal, Human, and Dairy Sources"
MT436816,"Streptococcus anginosus strain KCOM 2006 (= ChDC B90) 16S ribosomal RNA gene, partial sequence",1478.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT436816,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT261807,"Streptococcus anginosus strain KCOM 3024 (=ChDC PVNT-B23) 16S ribosomal RNA gene, partial sequence",1478.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT261807,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT280310,"Streptococcus anginosus strain KCOM 1771 (= ChDC B452) 16S ribosomal RNA gene, partial sequence",1478.0,Mandibular osteomyelitis,https://www.ncbi.nlm.nih.gov/nuccore/MT280310,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW412584,"Streptococcus anginosus strain KCOM 2870 (= JS51) 16S ribosomal RNA gene, partial sequence",1478.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW412584,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW404518,"Streptococcus anginosus strain KCOM 2726 (= ChDC KB68) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW404518,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT658564,"Streptococcus anginosus strain KCOM 2376 (= ChDC PV-F94) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT658564,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW555231,"Streptococcus anginosus strain KCOM 2923 (= JS100) 16S ribosomal RNA gene, partial sequence",1478.0,subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW555231,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW541857,"Streptococcus anginosus strain KCOM 3571 (=JS477) 16S ribosomal RNA gene, partial sequence",1478.0,gingivitis,https://www.ncbi.nlm.nih.gov/nuccore/MW541857,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT459252,"Streptococcus anginosus strain KCOM 2141 (= ChDC B792) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT459252,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW407045,"Streptococcus anginosus strain KCOM 2828 (= ChDC KB104) 16S ribosomal RNA gene, partial sequence",1478.0,Chronic inflammation,https://www.ncbi.nlm.nih.gov/nuccore/MW407045,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW404519,"Streptococcus anginosus strain KCOM 2728 (= ChDC KB70) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW404519,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT459251,"Streptococcus anginosus strain KCOM 2139 (= ChDC B790) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT459251,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW658778,"Streptococcus anginosus strain KCOM 3793 (= JS649) 16S ribosomal RNA gene, partial sequence",1478.0,periodontitis,https://www.ncbi.nlm.nih.gov/nuccore/MW658778,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW404394,"Streptococcus anginosus strain KCOM 2718 (= ChDC KB60) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW404394,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT665031,"Streptococcus anginosus strain KCOM 2387 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT665031,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT436826,"Streptococcus anginosus strain KCOM 2008 (= ChDC B92) 16S ribosomal RNA gene, partial sequence",1478.0,Subgingival dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT436826,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT295467,"Streptococcus anginosus strain KCOM 1768 (= ChDC B449) 16S ribosomal RNA gene, partial sequence",1478.0,Mandibular osteomyelitis,https://www.ncbi.nlm.nih.gov/nuccore/MT295467,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
NR_118289,"Streptococcus anginosus 16S ribosomal RNA, partial sequence",1478.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NR_118289,---,---,"Evaluation of Methods for Identification and Determination of the Taxonomic Status of Strains Belonging to the Streptococcus porcinusStreptococcus pseudoporcinus Complex Isolated from Animal, Human, and Dairy Sources"
MT459269,"Streptococcus anginosus strain KCOM 2157 (= ChDC B808) 16S ribosomal RNA gene, partial sequence",1478.0,"Subgingival dental plaque, gingivitis",https://www.ncbi.nlm.nih.gov/nuccore/MT459269,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
GU045404,"Streptococcus anginosus strain ATCC 33397 16S ribosomal RNA gene, partial sequence",1477.0,---,https://www.ncbi.nlm.nih.gov/nuccore/GU045404,---,---,rpoA is a useful gene for identification and classification of Streptococcus pneumoniae from the closely related viridans group streptococci
NR_117426,"Streptococcus anginosus SK52 = DSM 20563 16S ribosomal RNA, partial sequence",1477.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NR_117426,---,---,rpoA is a useful gene for identification and classification of Streptococcus pneumoniae from the closely related viridans group streptococci
DQ232519,"Streptococcus anginosus strain CIP 105057 16S ribosomal RNA gene, partial sequence",1477.0,---,https://www.ncbi.nlm.nih.gov/nuccore/DQ232519,---,---,Identification and phylogenetic relationships among the genus Streptococcus by partial sequencing of rpoB and sodA genes
MT261781,"Streptococcus anginosus strain KCOM 3002 (=ChDC PVNT-B1) 16S ribosomal RNA gene, partial sequence",1477.0,Subgingival dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT261781,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MT280220,"Streptococcus anginosus strain KCOM 1750 (= ChDC B444) 16S ribosomal RNA gene, partial sequence",1477.0,submandibular space abscess,https://www.ncbi.nlm.nih.gov/nuccore/MT280220,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW404400,"Streptococcus anginosus strain KCOM 2722 (= ChDC KB64) 16S ribosomal RNA gene, partial sequence",1477.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW404400,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
MW404398,"Streptococcus anginosus strain KCOM 2723 (= ChDC KB65) 16S ribosomal RNA gene, partial sequence",1477.0,Subgingival plaque,https://www.ncbi.nlm.nih.gov/nuccore/MW404398,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
DQ232517,"Streptococcus anginosus strain CIP 105053 16S ribosomal RNA gene, partial sequence",1477.0,---,https://www.ncbi.nlm.nih.gov/nuccore/DQ232517,---,---,Identification and phylogenetic relationships among the genus Streptococcus by partial sequencing of rpoB and sodA genes
DQ232518,"Streptococcus anginosus strain CIP 105055 16S ribosomal RNA gene, partial sequence",1477.0,---,https://www.ncbi.nlm.nih.gov/nuccore/DQ232518,---,---,Identification and phylogenetic relationships among the genus Streptococcus by partial sequencing of rpoB and sodA genes
MT436823,"Streptococcus anginosus strain KCOM 2007 (= ChDC B91) 16S ribosomal RNA gene, partial sequence",1477.0,Subgingival dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/MT436823,South Korea,Human,23. Identification of the Bacteria Isolated from Oral Cavities in Korea
AY309096,"Streptococcus anginosus 16S ribosomal RNA gene, partial sequence",1470.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AY309096,---,---,Identification of the anginosus group within the genus Streptococcus using polymerase chain reaction
MT597725,"Streptococcus anginosus strain 1902 16S ribosomal RNA gene, partial sequence",1468.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597725,---,---,-----
MT597583,"Streptococcus anginosus strain 1716 16S ribosomal RNA gene, partial sequence",1465.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597583,---,---,-----
MT545124,"Streptococcus anginosus strain 4636 16S ribosomal RNA gene, partial sequence",1464.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT545124,---,---,-----
MT459365,"Streptococcus anginosus strain 4997 16S ribosomal RNA gene, partial sequence",1464.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT459365,---,---,-----
MT597584,"Streptococcus anginosus strain 1717 16S ribosomal RNA gene, partial sequence",1463.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597584,---,---,-----
MT597634,"Streptococcus anginosus strain 1789 16S ribosomal RNA gene, partial sequence",1463.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597634,---,---,-----
MT573751,"Streptococcus anginosus strain 1323 16S ribosomal RNA gene, partial sequence",1462.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT573751,---,---,-----
MT512098,"Streptococcus anginosus strain 4987 16S ribosomal RNA gene, partial sequence",1460.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT512098,---,---,-----
MT512079,"Streptococcus anginosus strain 4956 16S ribosomal RNA gene, partial sequence",1460.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT512079,---,---,-----
MT573862,"Streptococcus anginosus strain 1485 16S ribosomal RNA gene, partial sequence",1460.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT573862,---,---,-----
MT459364,"Streptococcus anginosus strain 4991 16S ribosomal RNA gene, partial sequence",1459.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT459364,---,---,-----
MT597616,"Streptococcus anginosus strain 1768 16S ribosomal RNA gene, partial sequence",1458.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597616,---,---,-----
KM052286,"Streptococcus anginosus strain 38B 16S ribosomal RNA gene, partial sequence",1454.0,dental plaque,https://www.ncbi.nlm.nih.gov/nuccore/KM052286,Poland,Children,103. The usefulness of biotyping in the determination of selected pathogenicity determinants in Streptococcus mutans
LC258132,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: JCM 12993",1449.0,---,https://www.ncbi.nlm.nih.gov/nuccore/LC258132,---,---,-----
MT597613,"Streptococcus anginosus strain 1765 16S ribosomal RNA gene, partial sequence",1449.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597613,---,---,-----
MT573752,"Streptococcus anginosus strain 1324 16S ribosomal RNA gene, partial sequence",1444.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT573752,---,---,-----
MT597617,"Streptococcus anginosus subsp. whileyi strain 1769 16S ribosomal RNA gene, partial sequence",1444.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597617,---,---,-----
MT597524,"Streptococcus anginosus strain 1639 16S ribosomal RNA gene, partial sequence",1442.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597524,---,---,-----
MT597726,"Streptococcus anginosus strain 1904 16S ribosomal RNA gene, partial sequence",1468.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT597726,---,---,-----
KJ803946,"Streptococcus anginosus strain CCFM8389 16S ribosomal RNA gene, partial sequence",1442.0,human feces,https://www.ncbi.nlm.nih.gov/nuccore/KJ803946,China,Human,110. In Vitro Fermentation of Lactulose by Human Gut Bacteria
GU561378,"Streptococcus anginosus strain PG18 16S ribosomal RNA gene, partial sequence",1441.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/GU561378,---,Human,Oral bacterial diversity
GU907516,"Streptococcus anginosus strain C61 16S ribosomal RNA gene, partial sequence",1438.0,sputum of adult cystic ribrosis patient,https://www.ncbi.nlm.nih.gov/nuccore/GU907516,,Human,-----
